日期	时间	磁场	温度
2018/6/2	23:55:08	-0.0002400	29.1
2018/6/2	23:55:13	-0.0002390	29.1
2018/6/2	23:55:18	-0.0002390	29.1
2018/6/2	23:55:23	-0.0002400	29.1
2018/6/2	23:55:28	-0.0002410	29.1
2018/6/2	23:55:33	-0.0002420	29.0
2018/6/2	23:55:38	-0.0002410	29.1
2018/6/2	23:55:43	-0.0002400	29.1
2018/6/2	23:55:48	-0.0002370	29.1
2018/6/2	23:55:53	-0.0002350	29.1
2018/6/2	23:55:58	-0.0002380	29.1
2018/6/2	23:56:03	-0.0002360	29.1
2018/6/2	23:56:08	-0.0002360	29.1
2018/6/2	23:56:13	-0.0002370	29.1
2018/6/2	23:56:18	-0.0002410	29.1
2018/6/2	23:56:23	-0.0002390	29.1
2018/6/2	23:56:28	-0.0002370	29.1
2018/6/2	23:56:33	-0.0002380	29.1
2018/6/2	23:56:38	-0.0002370	29.1
2018/6/2	23:56:43	-0.0002390	29.1
2018/6/2	23:56:48	-0.0002400	29.1
2018/6/2	23:56:53	-0.0002390	29.1
2018/6/2	23:56:58	-0.0002410	29.1
2018/6/2	23:57:03	-0.0002440	29.1
2018/6/2	23:57:08	-0.0002430	29.1
2018/6/2	23:57:13	-0.0002410	29.2
2018/6/2	23:57:18	-0.0002420	29.2
2018/6/2	23:57:23	-0.0002410	29.1
2018/6/2	23:57:28	-0.0002390	29.1
2018/6/2	23:57:33	-0.0002390	29.1
2018/6/2	23:57:38	-0.0002430	29.1
2018/6/2	23:57:43	-0.0002450	29.1
2018/6/2	23:57:48	-0.0002420	29.1
2018/6/2	23:57:53	-0.0002400	29.1
2018/6/2	23:57:58	-0.0002390	29.1
2018/6/2	23:58:03	-0.0002410	29.1
2018/6/2	23:58:08	-0.0002390	29.1
2018/6/2	23:58:13	-0.0002400	29.1
2018/6/2	23:58:18	-0.0002400	29.1
2018/6/2	23:58:23	-0.0002390	29.1
2018/6/2	23:58:28	-0.0002410	29.1
2018/6/2	23:58:33	-0.0002390	29.2
2018/6/2	23:58:38	-0.0002400	29.1
2018/6/2	23:58:43	-0.0002430	29.1
2018/6/2	23:58:48	-0.0002420	29.1
2018/6/2	23:58:53	-0.0002420	29.1
2018/6/2	23:58:58	-0.0002410	29.1
2018/6/2	23:59:03	-0.0002380	29.1
2018/6/2	23:59:08	-0.0002390	29.1
2018/6/2	23:59:13	-0.0002380	29.1
2018/6/2	23:59:18	-0.0002380	29.1
2018/6/2	23:59:23	-0.0002360	29.1
2018/6/2	23:59:28	-0.0002400	29.1
2018/6/2	23:59:33	-0.0002410	29.1
2018/6/2	23:59:38	-0.0002430	29.1
2018/6/2	23:59:43	-0.0002420	29.1
2018/6/2	23:59:48	-0.0002390	29.1
2018/6/2	23:59:53	-0.0002420	29.1
2018/6/2	23:59:58	-0.0002430	29.1
2018/6/3	0:00:03	-0.0002410	29.1
2018/6/3	0:00:08	-0.0002420	29.1
2018/6/3	0:00:13	-0.0002400	29.1
2018/6/3	0:00:18	-0.0002410	29.1
2018/6/3	0:00:23	-0.0002420	29.1
2018/6/3	0:00:28	-0.0002470	29.1
2018/6/3	0:00:33	-0.0002430	29.1
2018/6/3	0:00:38	-0.0002420	29.1
2018/6/3	0:00:43	-0.0002390	29.1
